Key Name,File(s) Read,Function(s) Read,File(s) Written,Function(s) Written,Data Structure,Example Fields,Current Purpose,Operational Data,Visible To Other Users Needed,Must Be Backed Up,Affects Vehicle Workflow,Est. Existing Records,Proposed Destination,Migration Priority,Risk Level,Category
vehicleTrackingCorePdcMechanics:v1 (MECHANICS_KEY),app.js,loadMechanics() via normalizedMechanicList(),app.js,saveMechanics() called from addMechanicFromAdminInput() / removeMechanicFromAdminList() on the Setup screen,Array of mechanic name strings,"['J. Smith', 'A. Jones', ...]","The technician/mechanic roster used throughout bay assignment, job-card mechanic fields, and workshop planner technician pickers.",Yes,Yes,Yes,Yes (mechanic assignment gates work progress and job-card printing),"Small (roster size, likely tens of names)","public.workshop_technicians (already exists, already has name/active columns from migration 006) -- appears to already be the correct destination, currently only used by the workshop planner's shared-mode path, not by the Setup screen's mechanic list at all",Stage 2A (first),Low -- destination table and RLS already exist and are already proven in production-quality tests from the workshop-planner shared-mode work; primarily a wiring/reconciliation exercise (two mechanic lists currently exist: this one and workshop_technicians -- must reconcile into one before cutover),A
vehicleTrackingCorePdcMechanicsRosterSeed:v1 (MECHANICS_ROSTER_SEED_KEY),app.js,read once at first Setup-screen load to decide whether to seed defaults,app.js,written once after seeding,String version marker (e.g. '2'),n/a,"One-time seed-version marker so the default mechanic list is only auto-populated once per browser, never re-applied after staff edit it.",No,No,No,No,1 per browser,None -- retire entirely; a seed-once marker has no meaning once the roster is server-authoritative,Retire during Stage 2A cutover,None,C
vehicleTrackingCorePdcSubletProviders:v1 (SUBLET_PROVIDERS_KEY),app.js,loadSubletProviders() via normalizedSubletProviderList(),app.js,saveSubletProviders() called from addSubletProviderFromAdminInput() / removeSubletProviderFromAdminList(),Array of sublet-provider name strings,"['ABC Tinting', 'XYZ Upholstery', ...]",The sublet supplier list used on the Sublet screen and job-card sublet fields.,Yes,Yes,Yes,Yes (sublet provider assignment gates sublet-stage workflow),Small,"public.sublet_providers (already exists from migration 001, with name/email/phone/active columns) -- appears to already be the correct destination, currently unused by the frontend entirely",Stage 2A (first),Low -- destination table already exists with RLS already proven in the Stage 7 privilege-hardening work (is_pdc_role('administrator') write policy already confirmed correct); primarily a wiring exercise,A
vehicleTrackingCorePdcSubletProvidersSeed:v2 (SUBLET_PROVIDERS_SEED_KEY),app.js,read once at first load,app.js,written once after seeding,String version marker,n/a,Same seed-once pattern as the mechanics roster seed key.,No,No,No,No,1 per browser,None -- retire entirely,Retire during Stage 2A cutover,None,C
vehicleTrackingCoreSalespersons:v1 (SALESPERSONS_KEY),app.js,loadSalespersons() via normalizedSalespersonList(),app.js,saveSalespersons() called from the Setup screen's salesperson add/remove flow,Array of salesperson record objects,"{ name, email }","The salesperson list used for vehicle-to-salesperson assignment, ETA-request routing, and the AI salesperson-ETA-request feature design.",Yes,Yes,Yes,Yes (drives customer/salesperson communication and vehicle assignment),Small,"public.salespeople (already exists from migration 001, with name/email/active columns and a real FK from vehicles.salesperson_id) -- appears to already be the correct destination, currently unused by the frontend entirely (vehicles are matched to salespeople by name string in localStorage, not by salesperson_id FK)",Stage 2A (first),"Low -- destination table, FK, and RLS already exist and are already proven in the Stage 7 privilege-hardening tests; primarily a wiring exercise. Some risk in reconciling existing free-text salesperson names on vehicles to real salespeople.id FK values during cutover",A
vehicleTrackingCoreSalespersonsSeed:v1 (SALESPERSONS_SEED_KEY),app.js,read once at first load,app.js,written once after seeding,String version marker,n/a,Same seed-once pattern as above.,No,No,No,No,1 per browser,None -- retire entirely,Retire during Stage 2A cutover,None,C
vehicleTrackingCoreOperationalHealth:v1 (OPERATIONAL_HEALTH_KEY),app.js,read via a helper at line ~2311,app.js,saved via a helper at line ~2316,Object -- summary counters (e.g. counts of vehicles by status/health flag),navisionImportedCount; backupStatus-adjacent counters (exact fields not fully enumerated in this pass),Powers the sidebar 'Operational Health' summary panel (Navision import status / PO import status / backup status indicators already visible in the existing UI).,"Partially -- it is a DERIVED summary of other data, not itself a source of truth",No (each browser can recompute it locally once the underlying data is shared),No (recomputable),No,Single object,"None as a stored table -- once the underlying vehicle/import/backup data is server-authoritative, this becomes a live-computed view/RPC (e.g. get_operational_health_summary()) rather than a migrated key",Stage 2F (final -- depends on everything else being migrated first),Low,"C (recomputed, not migrated)"
"vehicleTrackingCoreNotes:<stock> (dynamic per-vehicle key, no single named constant)",app.js,"getNotes(stock) (line ~15185); read at lines ~323, 8842, 14303 for vehicle summaries/detail panel/CSV-safe text export",app.js,"setNotes(stock, notes) (line ~15186) called from the notes-form submit handler (line ~9151-9158)","Array of timestamped note strings per vehicle, one localStorage key PER vehicle stock number","['17/07/2026, 10:42 am - Customer confirmed pickup time', ...]","Free-text staff notes attached to a vehicle, shown in the vehicle detail panel and included in some export/summary text.",Yes,Yes (this is explicitly called out in the brief as needing 'A note added in Browser A appears in Browser B'),Yes,Possibly (notes can carry operationally significant information even though the field itself does not drive automated logic),"Potentially very large -- one localStorage key per vehicle that has ever had a note added, unbounded note count per vehicle, and this key is NOT covered by the existing bulk-export/import helpers that operate on the named _KEY constants (see risk note)","New table public.vehicle_notes (vehicle_id FK, author uuid, note_text, created_at) -- notes are the clearest, most literal Category A example in the entire brief",Stage 2D,"High -- this key was not discovered via the named _KEY constant list (it is dynamically constructed per vehicle) and is consequently NOT included in the existing storageBackupKeys()/exportVehicleTrackingBackup()-style bulk key list (line ~14078 only special-cases it by prefix, it is not a fixed key) -- any migration tooling that assumes a fixed key list will silently miss every vehicle's notes unless it explicitly walks all vehicleTrackingCoreNotes: prefixed keys",A
vehicleTrackingCoreWorkshopPlan:v1 (WORKSHOP_PLAN_STORAGE_KEY),workshop-planner.js,loadJson() calls throughout the planner render/action functions -- guarded by workshopSharedModeActive() where shared-mode wiring already exists (see prior remediation stages),workshop-planner.js,"saveJson() inside runStorageTransaction('Workshop planner save', ...) -- also guarded/skipped when shared mode is active for the specific actions already wired (schedule/move/resize/etc per the completed shared-write-path work)",Array of local plan/booking row objects,planId; stock; stage; bay; technician; scheduledStart; scheduledEnd; status,"The entire local (non-shared) workshop planner's booking data when shared mode is OFF. When shared mode is ON, most planner actions already write through workshop_bookings via protected RPCs instead (prior remediation work) -- but the underlying local plan array is still the fallback/legacy path and is NOT yet the exclusive source of truth everywhere.",Yes,Yes,Yes,Yes,Ongoing (daily planner usage),"public.workshop_bookings (already exists and already has a complete protected-RPC write path from prior remediation stages) -- this key should be RETIRED, not migrated, once shared mode is unconditionally on and the legacy fallback path is removed","Stage 2F (retirement, not migration -- destination already exists and already works)",Medium -- the risk here is not schema/RPC design (already done) but safely removing the legacy fallback path without breaking any UI action that has not yet been converted to the shared-mode guarded pattern; requires re-auditing which planner actions still lack a shared-mode guard,"A (already has a working destination -- this is a cutover/retirement task, not new design)"
vehicleTrackingCoreWorkshopBaySetup:v1 (WORKSHOP_BAY_SETUP_STORAGE_KEY),workshop-planner.js,loadJson() at line ~502,workshop-planner.js,saveJson() at line ~507,Object -- per-stage/bay default technician assignment map,"{ HOIST: { 1: 'technicianId-or-name', 2: '...' }, ... }","Default technician-per-bay setup used by the workshop planner's 'assign bay mechanic' backfill behaviour (already partially wired to a shared RPC path for the assign-technician action per prior remediation, but the SETUP/DEFAULTS themselves are still local-only).",Yes,Yes,Yes,Yes (affects default technician suggestions when scheduling),Small (one row per stage/bay combination),"public.workshop_bays.default_technician_id (already exists as a column on workshop_bays per migration 006) -- appears to already be the correct destination, needs wiring not new schema",Stage 2A,Low -- destination column already exists,A
vehicleTrackingCoreWorkshopView:v1 (WORKSHOP_VIEW_STORAGE_KEY),workshop-planner.js,loadJson() at line ~627,workshop-planner.js,saveJson() at line ~639,Object -- currently selected date and stage filter in the planner UI,"{ date: '2026-07-17', stage: 'HOIST' }",Remembers which date/stage the planner was last showing so it reopens to the same view.,No (pure UI preference),No,No,No,1 per browser,None -- remains in localStorage,n/a (not migrated),None,B
vehicleTrackingCoreColumnOrder:v4 (VEHICLE_TABLE_COLUMN_ORDER_KEY) and superseded v1/v2/v3 variants,app.js,vehicleTableColumnOrder() at line ~7091,app.js,"saveVehicleTableColumnOrder() at line ~7098; v1/v3/v4 variants explicitly removeItem()'d on reset (lines 1208-1210, 7189-7191) as stale-version cleanup",Array of column-id strings in display order,"['stock', 'customer', 'location', ...]",Remembers the staff member's chosen column order/visibility for the main vehicle table.,No,No,No,No,1 per browser,None -- remains in localStorage,n/a,None,B
vehicleTrackingCoreColumnWidths:v1/v3/v4:<table-id>,app.js,"read via a dynamic storageKey template at lines ~8425, 8488",app.js,written via the same dynamic key at the same call sites,Object -- per-column pixel widths for a given table id,"{ stock: 96, customer: 180, ... }",Remembers the staff member's manually resized column widths per table.,No,No,No,No,1 per browser per table,None -- remains in localStorage,n/a,None,B
vehicleTrackingCoreWorkflowWidthMode:v1 (WORKFLOW_WIDTH_MODE_KEY) and vehicleTrackingCoreRowWidthMode:v1 (ROW_WIDTH_MODE_KEY),app.js,read at line ~4297,app.js,written at lines ~4318-4319,String -- density mode ('standard'/'compact' or similar),n/a,Remembers the staff member's chosen row/column density display preference.,No,No,No,No,1 per browser,None -- remains in localStorage,n/a,None,B
vehicleTrackingCoreQzPrinter:v1,app.js,read at line ~8178 into qzLastPrinterName,app.js,"written at lines ~8237, 8247, 8254 whenever a Zebra label printer is auto-detected/selected",String -- last-used QZ Tray printer name,'ZDesigner GK420t',Remembers which physical Zebra label printer this specific computer should print to.,No (genuinely local to a physical printer attached to one computer -- must NOT be shared/synced across browsers),No,No,No,1 per browser,"None -- remains in localStorage BY DESIGN (this is the one key where cross-browser sync would be actively wrong, since different computers have different attached printers)",n/a,None,B
vehicleTrackingCoreCurrentOperator:v1 (OPERATOR_NAME_KEY) and vehicleTrackingCoreCurrentOperatorRole:v1 (OPERATOR_ROLE_KEY),app.js,"read at multiple sites (lines ~3682-3683, 6327-6328, 8653, 8664, 8677-8678) as a fallback when window.PDC_AUTH_CONTEXT is not present",app.js,"written at lines ~8657, 8668, 8682-8683",String -- freeform operator display name / role label,'J. Smith' / 'Controller',"Legacy pre-Supabase-Auth 'who is using this browser right now' identity, now superseded by the real pdc-auth.js/window.PDC_AUTH_CONTEXT authentication system but still read as a fallback in several call sites.",No longer meaningfully operational once every browser is authenticated (the real identity now comes from Supabase Auth),No,No,No (superseded),1 per browser,None -- retire once every fallback read site is confirmed to have a working window.PDC_AUTH_CONTEXT and the fallback is provably dead code,Stage 2F (retirement -- audit every fallback read site first; do not delete while any UI path can still reach an unauthenticated state that depends on this),Low to migrate away from but MEDIUM to retire safely -- must confirm no code path still relies on this fallback before deleting it,"C (superseded by real auth, pending a dead-code audit before removal)"
vehicleTrackingCoreStorageTransaction:v1 (STORAGE_TRANSACTION_JOURNAL_KEY),app.js,read internally by runStorageTransaction()'s rollback/recovery machinery,app.js,written internally by the same transaction helper (used for the 'recover-existing'/'recover-new'/'recover-session' test scenarios and general crash-recovery),Object -- in-flight transaction journal for crash recovery of a partially-completed multi-key localStorage write,"Internal transaction metadata (keys touched, before/after snapshot)",Implements atomic multi-key localStorage writes with crash recovery -- the mechanism that makes saveVehicleEdits() and friends at least locally atomic today.,"No (infrastructure, not itself operational data)",No,No,No,Transient (cleared on successful commit),"None -- this entire mechanism becomes unnecessary once mutations go through real Postgres transactions inside protected RPCs, which are atomic by construction and already used by every migrated action",Retire progressively as each write path migrates (fully retired at Stage 2F),Low to retire (superseded by real DB transactions) but the retirement must be staged carefully so no half-migrated write path loses its only atomicity guarantee before its Supabase equivalent is proven,"C (superseded by real DB transactions, retire progressively not all at once)"
